time,_Eihop,_P0,hops,d,_R,_Nb
7529970170,0.136,0.32,1,135,250,90
7542465009,0.25,0.14,1,135,250,90
7624270737,0.140,0.32,1,135,250,90
7642743456,0.108,0.28,1,135,250,90
7665102725,0.25,0.14,1,135,250,90
7679277564,0.39,0.18,1,135,250,90
7679549078,0.115,0.28,1,135,250,90
7711634188,0.111,0.28,1,135,250,90
7715668918,0.162,0.36,1,135,250,90
7742877341,0.172,0.36,1,135,250,90
7795377236,0.46,0.18,1,135,250,90
7817051991,0.64,0.21,1,135,250,90
7824824386,0.57,0.21,1,135,250,90
7847880189,0.172,0.36,1,135,250,90
7851770785,0.151,0.36,1,135,250,90
7887180930,0.43,0.18,1,135,250,90
7959402509,0.43,0.18,1,135,250,90
7974130195,0.172,0.36,1,135,250,90
7996912050,0.144,0.32,1,135,250,90
8006067623,0.111,0.28,1,135,250,90
8027180893,0.75,0.25,1,135,250,90
8041480636,0.10,0.10,1,135,250,90
8056075105,0.136,0.32,1,135,250,90
8056212121,0.14,0.10,1,135,250,90
8075927005,0.136,0.32,1,135,250,90
8097177097,0.165,0.36,1,135,250,90
8099399754,0.162,0.36,1,135,250,90
8118018390,0.18,0.10,1,135,250,90
8120786147,0.43,0.18,1,135,250,90
8145380541,0.75,0.25,1,135,250,90
8152043147,0.14,0.10,1,135,250,90
8155934321,0.07,0.07,1,135,250,90
8156064637,0.108,0.28,1,135,250,90
8178011934,0.82,0.25,1,135,250,90
8197449346,0.79,0.25,1,135,250,90
8233290253,0.14,0.10,1,135,250,90
8242871136,0.28,0.14,1,135,250,90
8256478045,0.144,0.32,1,135,250,90
8319808733,0.100,0.28,1,135,250,90
8323973861,0.108,0.28,1,135,250,90
8343005039,0.25,0.14,1,135,250,90
8345931604,0.194,0.39,1,135,250,90
8348418102,0.64,0.21,1,135,250,90
8357596704,0.169,0.36,1,135,250,90
8364814671,0.82,0.25,1,135,250,90
8388837111,0.57,0.21,1,135,250,90
8442449316,0.82,0.25,1,135,250,90
8453009085,0.111,0.28,1,135,250,90
8496196585,0.172,0.36,1,135,250,90
8516610858,0.111,0.28,1,135,250,90
8519386845,0.28,0.14,1,135,250,90
8527033452,0.86,0.25,1,135,250,90
8540231285,0.104,0.28,1,135,250,90
8550369101,0.169,0.36,1,135,250,90
8556477763,0.57,0.21,1,135,250,90
8588283496,0.176,0.36,1,135,250,90
8593277704,0.104,0.28,1,135,250,90
8600355566,0.79,0.25,1,135,250,90
8606896357,0.136,0.32,1,135,250,90
8612861587,0.115,0.28,1,135,250,90
8622723830,0.144,0.32,1,135,250,90
8650080360,0.140,0.32,1,135,250,90
8669527377,0.61,0.21,1,135,250,90
8699668295,0.169,0.36,1,135,250,90
8723689676,0.07,0.07,1,135,250,90
8747442385,0.64,0.21,1,135,250,90
8771049052,0.39,0.18,1,135,250,90
8792993452,0.108,0.28,1,135,250,90
8817024705,0.190,0.39,1,135,250,90
8820212174,0.129,0.32,1,135,250,90
8892158432,0.07,0.07,1,135,250,90
8907862256,0.14,0.10,1,135,250,90
8910083723,0.43,0.18,1,135,250,90
8931330311,0.140,0.32,1,135,250,90
8937848842,0.100,0.28,1,135,250,90
8990627144,0.43,0.18,1,135,250,90
9002712242,0.133,0.32,1,135,250,90
9038817508,0.25,0.14,1,135,250,90
9042440320,0.14,0.10,1,135,250,90
9048962165,0.07,0.07,1,135,250,90
9084106286,0.133,0.32,1,135,250,90
9086884627,0.28,0.14,1,135,250,90
9092715042,0.172,0.36,1,135,250,90
9100356216,0.28,0.14,1,135,250,90
9136877203,0.79,0.25,1,135,250,90
9145627144,0.46,0.18,1,135,250,90
9191877177,0.64,0.21,1,135,250,90
9209659083,0.100,0.28,1,135,250,90
9248674077,0.28,0.14,1,135,250,90
9285895683,0.104,0.28,1,135,250,90
9311730764,0.104,0.28,1,135,250,90
9329095985,0.165,0.36,1,135,250,90
9346322171,0.129,0.32,1,135,250,90
9391871283,0.43,0.18,1,135,250,90
9404087205,0.194,0.39,1,135,250,90
9411033453,0.57,0.21,1,135,250,90
9422153166,0.104,0.28,1,135,250,90
9422290231,0.43,0.18,1,135,250,90
9447011915,0.36,0.18,1,135,250,90
9475618360,0.61,0.21,1,135,250,90
9527972693,0.61,0.21,1,135,250,90
9558121965,0.14,0.10,1,135,250,90
9558252178,0.75,0.25,1,135,250,90
9596165235,0.07,0.07,1,135,250,90
9607558749,0.18,0.10,1,135,250,90
9665477835,0.136,0.32,1,135,250,90
9680619073,0.122,0.32,1,135,250,90
9714636948,0.133,0.32,1,135,250,90
9715196474,0.28,0.14,1,135,250,90
9750614494,0.111,0.28,1,135,250,90
9763806022,0.169,0.36,1,135,250,90
9843524704,0.169,0.36,1,135,250,90
9897824377,0.36,0.18,1,135,250,90
9907965073,0.162,0.36,1,135,250,90
9926714941,0.61,0.21,1,135,250,90
9930611520,0.57,0.21,1,135,250,90
9936714977,0.25,0.14,1,135,250,90
9959908496,0.140,0.32,1,135,250,90
9970051734,0.28,0.14,1,135,250,90
9991165231,0.14,0.10,1,135,250,90
10000321509,0.03,0.07,1,135,250,90
10004071474,0.43,0.18,1,135,250,90
10044489396,0.140,0.32,1,135,250,90
10091158451,0.61,0.21,1,135,250,90
10123517795,0.43,0.18,1,135,250,90
10127411330,0.39,0.18,1,135,250,90
10162262007,0.104,0.28,1,135,250,90
10196989665,0.61,0.21,1,135,250,90
10206996840,0.46,0.18,1,135,250,90
10210180818,0.18,0.10,1,135,250,90
10238371281,0.64,0.21,1,135,250,90
10261293133,0.14,0.10,1,135,250,90
10285458085,0.07,0.07,1,135,250,90
10335877145,0.25,0.14,1,135,250,90
10356566256,0.43,0.18,1,135,250,90
10365180925,0.111,0.28,1,135,250,90
10379902510,0.162,0.36,1,135,250,90
