time,_Eihop,_P0,hops,d,_R,_Nb
22314,305143,422,161629,1,135,250,90
13434,314033,55,155343,2,67,250,90
24285,303171,590,160956,1,135,250,90
16824,310642,2207,149867,2,67,250,90
23800,303656,371,160787,1,135,250,90
12534,314915,57,157977,2,67,250,90
26415,301042,935,159191,1,135,250,90
14560,312907,110,144594,2,67,250,90
24325,303127,759,155697,1,135,250,90
12333,315123,57,156000,2,67,250,90
23834,303621,545,158513,1,135,250,90
12707,314761,55,152373,2,67,250,90
24301,303154,594,148988,1,135,250,90
12493,314973,55,151457,2,67,250,90
24269,303186,789,155535,1,135,250,90
12581,314886,56,150112,2,67,250,90
23377,304077,647,147930,1,135,250,90
12626,314842,55,159698,2,67,250,90
22262,305194,798,151840,1,135,250,90
12677,314790,55,147031,2,67,250,90
20135,307321,592,157262,1,135,250,90
12540,314927,55,150623,2,67,250,90
20361,307095,636,155529,1,135,250,90
12577,314889,55,157400,2,67,250,90
20495,306961,679,152156,1,135,250,90
12437,315030,55,154200,2,67,250,90
20119,307338,738,157647,1,135,250,90
12323,315144,55,159055,2,67,250,90
20356,307099,704,146828,1,135,250,90
12643,314824,55,154277,2,67,250,90
19059,308400,482,159303,1,135,250,90
12387,315081,55,155976,2,67,250,90
21019,306436,638,158649,1,135,250,90
12323,315142,55,155891,2,67,250,90
22478,304978,592,148721,1,135,250,90
21644,305824,4392,149561,2,67,250,90
20866,306590,788,152273,1,135,250,90
17446,310002,2224,146863,2,67,250,90
20262,307197,417,157569,1,135,250,90
12566,314883,57,155978,2,67,250,90
27497,299959,632,155118,1,135,250,90
17414,310050,2213,143358,2,67,250,90
22058,305399,585,160149,1,135,250,90
12392,315056,58,156945,2,67,250,90
22946,304506,929,144497,1,135,250,90
12366,315099,55,156615,2,67,250,90
21818,305638,829,154747,1,135,250,90
14975,312495,109,150790,2,67,250,90
20259,307195,807,153245,1,135,250,90
13651,313805,56,153050,2,67,250,90
17819,309637,592,155440,1,135,250,90
17659,309806,2209,154660,2,67,250,90
19816,307641,786,150271,1,135,250,90
12659,314789,57,158276,2,67,250,90
17791,309667,628,153967,1,135,250,90
12650,314818,55,149283,2,67,250,90
15860,311593,469,153526,1,135,250,90
12355,315111,55,157090,2,67,250,90
16460,311001,570,160908,1,135,250,90
13365,314104,55,151035,2,67,250,90
15314,312139,469,157600,1,135,250,90
13559,313907,55,156255,2,67,250,90
16352,311108,589,159909,1,135,250,90
13483,313983,54,153084,2,67,250,90
17968,309490,529,160345,1,135,250,90
